Order Number|Album Name|Title|Genre|Artist|Year|Description|Image Location|Media Type|Track Number|Download Link
1|Kinh Pháp Cú Phẩm Cấu Uế (Câu 239 đến 241) - Thích Phước Tiến|Kinh Pháp Cú Phẩm Cấu Uế (Câu 239 đến 241) - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2016|"Những phẩm trước quí vị có thể xem thêm tại link sau:
Kinh Pháp Cú"|https://lh5.googleusercontent.com/-vzVeWHscPro/Un9Khp0TGqI/AAAAAAAAA8k/YQDcqnr4uQU/s260/phatphapungdung10112013.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-KinhPhapCuPhamCauUe(Cau239-241).mp4
2|Kinh Pháp Cú Phẩm Cấu Uế (Câu 239 đến 241) - Thích Phước Tiến|Kinh Pháp Cú Phẩm Cấu Uế (Câu 239 đến 241) - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2016|"Những phẩm trước quí vị có thể xem thêm tại link sau:
Kinh Pháp Cú"|https://lh5.googleusercontent.com/-vzVeWHscPro/Un9Khp0TGqI/AAAAAAAAA8k/YQDcqnr4uQU/s260/phatphapungdung10112013.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-KinhPhapCuPhamCauUe(Cau239-241).mp3
3|Để Hiểu Đạo Phật - Thích Phước Tiến|Để Hiểu Đạo Phật - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/de-hieu-dao-phat_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-DeHieuDaoPhat.mp4
4|Để Hiểu Đạo Phật - Thích Phước Tiến|Để Hiểu Đạo Phật - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/de-hieu-dao-phat_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-DeHieuDaoPhat.mp3
5|Đạo Phật Tín Ngưỡng - Thích Phước Tiến|Đạo Phật Tín Ngưỡng - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/dao-phat-tin-nguong_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-DaoPhatTinNguong.mp4
6|Đạo Phật Tín Ngưỡng - Thích Phước Tiến|Đạo Phật Tín Ngưỡng - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/dao-phat-tin-nguong_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-DaoPhatTinNguong.mp3
7|Ai Chưa Từng Lỗi Lầm - Thích Phước Tiến|Ai Chưa Từng Lỗi Lầm - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/ai-chua-tung-loi-lam_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/ThichPhuocTien/ThichPhuocTien-AiChuaTungLoiLam.mp4
8|Ai Chưa Từng Lỗi Lầm - Thích Phước Tiến|Ai Chưa Từng Lỗi Lầm - ĐĐ. Thích Phước Tiến|Đạo Phật Xã Hội|ĐĐ: Thích Phước Tiến|2015||http://phatphapungdung.com/upload/buddhist/images/ai-chua-tung-loi-lam_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/ThichPhuocTien/ThichPhuocTien-AiChuaTungLoiLam.mp3
9|Trung Đạo, Nhận Thức Và Tu Tập (KT61) - Thích Phước Tiến|Trung Đạo, Nhận Thức Và Tu Tập - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2016||http://phatphapungdung.com/upload/buddhist/images/trung-dao-nhan-thuc-va-tu-tap_150x195.jpg|Video|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP4/KhoaTuAnLac/ThichPhuocTien-TrungDaoNhanThucVaTuTap-KT61.mp4
10|Trung Đạo, Nhận Thức Và Tu Tập (KT61) - Thích Phước Tiến|Trung Đạo, Nhận Thức Và Tu Tập - ĐĐ. Thích Phước Tiến|Chuyên Đề Phật Học|ĐĐ: Thích Phước Tiến|2016||http://phatphapungdung.com/upload/buddhist/images/trung-dao-nhan-thuc-va-tu-tap_150x195.jpg|Audio|1|http://phapam.phatphapungdung.com/PhapAm2/buddhist/MP3/KhoaTuAnLac/ThichPhuocTien-TrungDaoNhanThucVaTuTap-KT61.mp3
